,menu_item,menu_item_price,menu_item_calories,restaurant_address
0,Whopper,7.49,670,"1541 East 12th Street, Oakland, CA, 94606, US"
1,Impossible™ Whopper,8.49,630,"1541 East 12th Street, Oakland, CA, 94606, US"
2,Texas Double Whopper,9.99,"1,090","1541 East 12th Street, Oakland, CA, 94606, US"
3,Double Whopper,8.49,920,"1541 East 12th Street, Oakland, CA, 94606, US"
4,Triple Whopper ,9.59,"1,170","1541 East 12th Street, Oakland, CA, 94606, US"
5,Bacon King,9.29,"1,200","1541 East 12th Street, Oakland, CA, 94606, US"
6,BBQ Bacon Whopper Jr.,4.99,390,"1541 East 12th Street, Oakland, CA, 94606, US"
7,Whopper Jr.,4.49,330,"1541 East 12th Street, Oakland, CA, 94606, US"
8,Bacon Double Cheeseburger,4.19,440,"1541 East 12th Street, Oakland, CA, 94606, US"
9,Bacon Cheeseburger,3.49,340,"1541 East 12th Street, Oakland, CA, 94606, US"
10,Double Cheeseburger,3.89,400,"1541 East 12th Street, Oakland, CA, 94606, US"
11,Cheeseburger,2.99,290,"1541 East 12th Street, Oakland, CA, 94606, US"
12,Rodeo Burger,2.99,340,"1541 East 12th Street, Oakland, CA, 94606, US"
13,Hamburger,2.69,250,"1541 East 12th Street, Oakland, CA, 94606, US"
14,Have-sies™,3.59,380,"1541 East 12th Street, Oakland, CA, 94606, US"
15,French Fries,3.89,370,"1541 East 12th Street, Oakland, CA, 94606, US"
16,Onion Rings,3.89,360,"1541 East 12th Street, Oakland, CA, 94606, US"
17,12 Pc. Chicken Fries,6.69,340,"1541 East 12th Street, Oakland, CA, 94606, US"
18,8 Pc. Chicken Fries,4.79,220,"1541 East 12th Street, Oakland, CA, 94606, US"
19,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"1541 East 12th Street, Oakland, CA, 94606, US"
20,4 Pc. Chicken Fries,2.29,110,"1541 East 12th Street, Oakland, CA, 94606, US"
21,16 Pc. Chicken Nuggets,5.99,770,"1541 East 12th Street, Oakland, CA, 94606, US"
22,8 Pc. Chicken Nuggets,2.99,390,"1541 East 12th Street, Oakland, CA, 94606, US"
23,4 Pc. Chicken Nuggets,1.49,190,"1541 East 12th Street, Oakland, CA, 94606, US"
24,Mozzarella Sticks,2.99,330,"1541 East 12th Street, Oakland, CA, 94606, US"
25,MOTTS Applesauce,1.79,50,"1541 East 12th Street, Oakland, CA, 94606, US"
26,Tacos,3.0,420,"1541 East 12th Street, Oakland, CA, 94606, US"
27,Whopper,7.89,670,"580 Hegenberger Road, Oakland, CA, 94621, US"
28,Impossible™ Whopper,8.89,630,"580 Hegenberger Road, Oakland, CA, 94621, US"
29,Texas Double Whopper,10.59,"1,090","580 Hegenberger Road, Oakland, CA, 94621, US"
30,Double Whopper,8.99,920,"580 Hegenberger Road, Oakland, CA, 94621, US"
31,Triple Whopper ,10.19,"1,170","580 Hegenberger Road, Oakland, CA, 94621, US"
32,Bacon King,9.19,"1,200","580 Hegenberger Road, Oakland, CA, 94621, US"
33,BBQ Bacon Whopper Jr.,3.89,390,"580 Hegenberger Road, Oakland, CA, 94621, US"
34,Whopper Jr.,3.99,330,"580 Hegenberger Road, Oakland, CA, 94621, US"
35,Bacon Double Cheeseburger,3.99,440,"580 Hegenberger Road, Oakland, CA, 94621, US"
36,Bacon Cheeseburger,3.19,340,"580 Hegenberger Road, Oakland, CA, 94621, US"
37,Double Cheeseburger,3.39,400,"580 Hegenberger Road, Oakland, CA, 94621, US"
38,Cheeseburger,2.59,290,"580 Hegenberger Road, Oakland, CA, 94621, US"
39,Rodeo Burger,2.59,340,"580 Hegenberger Road, Oakland, CA, 94621, US"
40,Hamburger,2.19,250,"580 Hegenberger Road, Oakland, CA, 94621, US"
41,Have-sies™,4.59,380,"580 Hegenberger Road, Oakland, CA, 94621, US"
42,French Fries,4.59,370,"580 Hegenberger Road, Oakland, CA, 94621, US"
43,Onion Rings,4.59,360,"580 Hegenberger Road, Oakland, CA, 94621, US"
44,12 Pc. Chicken Fries,4.99,340,"580 Hegenberger Road, Oakland, CA, 94621, US"
45,8 Pc. Chicken Fries,4.19,220,"580 Hegenberger Road, Oakland, CA, 94621, US"
46,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"580 Hegenberger Road, Oakland, CA, 94621, US"
47,4 Pc. Chicken Fries,1.99,110,"580 Hegenberger Road, Oakland, CA, 94621, US"
48,16 Pc. Chicken Nuggets,4.98,770,"580 Hegenberger Road, Oakland, CA, 94621, US"
49,8 Pc. Chicken Nuggets,2.79,390,"580 Hegenberger Road, Oakland, CA, 94621, US"
50,4 Pc. Chicken Nuggets,1.79,190,"580 Hegenberger Road, Oakland, CA, 94621, US"
51,MOTTS Applesauce,2.19,50,"580 Hegenberger Road, Oakland, CA, 94621, US"
52,Tacos,3.09,420,"580 Hegenberger Road, Oakland, CA, 94621, US"
53,Whopper,8.09,670,"5701 Christie Avenue, Emeryville, CA, 94608, US"
54,Impossible™ Whopper,8.59,630,"5701 Christie Avenue, Emeryville, CA, 94608, US"
55,Texas Double Whopper,10.49,"1,090","5701 Christie Avenue, Emeryville, CA, 94608, US"
56,Double Whopper,9.09,920,"5701 Christie Avenue, Emeryville, CA, 94608, US"
57,Triple Whopper ,10.09,"1,170","5701 Christie Avenue, Emeryville, CA, 94608, US"
58,Bacon King,10.99,"1,200","5701 Christie Avenue, Emeryville, CA, 94608, US"
59,BBQ Bacon Whopper Jr.,6.39,390,"5701 Christie Avenue, Emeryville, CA, 94608, US"
60,Whopper Jr.,4.79,330,"5701 Christie Avenue, Emeryville, CA, 94608, US"
61,Bacon Double Cheeseburger,5.19,440,"5701 Christie Avenue, Emeryville, CA, 94608, US"
62,Bacon Cheeseburger,3.59,340,"5701 Christie Avenue, Emeryville, CA, 94608, US"
63,Double Cheeseburger,3.79,400,"5701 Christie Avenue, Emeryville, CA, 94608, US"
64,Cheeseburger,3.29,290,"5701 Christie Avenue, Emeryville, CA, 94608, US"
65,Rodeo Burger,3.29,340,"5701 Christie Avenue, Emeryville, CA, 94608, US"
66,Hamburger,3.49,250,"5701 Christie Avenue, Emeryville, CA, 94608, US"
67,Have-sies™,4.39,380,"5701 Christie Avenue, Emeryville, CA, 94608, US"
68,French Fries,4.09,370,"5701 Christie Avenue, Emeryville, CA, 94608, US"
69,Onion Rings,4.09,360,"5701 Christie Avenue, Emeryville, CA, 94608, US"
70,12 Pc. Chicken Fries,5.79,340,"5701 Christie Avenue, Emeryville, CA, 94608, US"
71,8 Pc. Chicken Fries,4.99,220,"5701 Christie Avenue, Emeryville, CA, 94608, US"
72,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"5701 Christie Avenue, Emeryville, CA, 94608, US"
73,4 Pc. Chicken Fries,4.09,110,"5701 Christie Avenue, Emeryville, CA, 94608, US"
74,16 Pc. Chicken Nuggets,5.99,770,"5701 Christie Avenue, Emeryville, CA, 94608, US"
75,8 Pc. Chicken Nuggets,2.99,390,"5701 Christie Avenue, Emeryville, CA, 94608, US"
76,4 Pc. Chicken Nuggets,1.99,190,"5701 Christie Avenue, Emeryville, CA, 94608, US"
77,MOTTS Applesauce,1.49,50,"5701 Christie Avenue, Emeryville, CA, 94608, US"
78,Tacos,1.99,420,"5701 Christie Avenue, Emeryville, CA, 94608, US"
79,Whopper,7.89,670,"4200 East 14th Street, Oakland, CA, 94601, US"
80,Impossible™ Whopper,8.89,630,"4200 East 14th Street, Oakland, CA, 94601, US"
81,Texas Double Whopper,10.59,"1,090","4200 East 14th Street, Oakland, CA, 94601, US"
82,Double Whopper,8.99,920,"4200 East 14th Street, Oakland, CA, 94601, US"
83,Triple Whopper ,10.19,"1,170","4200 East 14th Street, Oakland, CA, 94601, US"
84,Bacon King,9.19,"1,200","4200 East 14th Street, Oakland, CA, 94601, US"
85,BBQ Bacon Whopper Jr.,3.89,390,"4200 East 14th Street, Oakland, CA, 94601, US"
86,Whopper Jr.,3.99,330,"4200 East 14th Street, Oakland, CA, 94601, US"
87,Bacon Double Cheeseburger,3.99,440,"4200 East 14th Street, Oakland, CA, 94601, US"
88,Bacon Cheeseburger,3.19,340,"4200 East 14th Street, Oakland, CA, 94601, US"
89,Double Cheeseburger,3.39,400,"4200 East 14th Street, Oakland, CA, 94601, US"
90,Cheeseburger,2.59,290,"4200 East 14th Street, Oakland, CA, 94601, US"
91,Rodeo Burger,2.59,340,"4200 East 14th Street, Oakland, CA, 94601, US"
92,Hamburger,2.19,250,"4200 East 14th Street, Oakland, CA, 94601, US"
93,Have-sies™,4.59,380,"4200 East 14th Street, Oakland, CA, 94601, US"
94,French Fries,4.59,370,"4200 East 14th Street, Oakland, CA, 94601, US"
95,Onion Rings,4.59,360,"4200 East 14th Street, Oakland, CA, 94601, US"
96,12 Pc. Chicken Fries,4.99,340,"4200 East 14th Street, Oakland, CA, 94601, US"
97,8 Pc. Chicken Fries,4.19,220,"4200 East 14th Street, Oakland, CA, 94601, US"
98,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"4200 East 14th Street, Oakland, CA, 94601, US"
99,4 Pc. Chicken Fries,1.99,110,"4200 East 14th Street, Oakland, CA, 94601, US"
100,16 Pc. Chicken Nuggets,4.98,770,"4200 East 14th Street, Oakland, CA, 94601, US"
101,8 Pc. Chicken Nuggets,2.79,390,"4200 East 14th Street, Oakland, CA, 94601, US"
102,4 Pc. Chicken Nuggets,1.79,190,"4200 East 14th Street, Oakland, CA, 94601, US"
103,MOTTS Applesauce,2.19,50,"4200 East 14th Street, Oakland, CA, 94601, US"
104,Tacos,3.09,420,"4200 East 14th Street, Oakland, CA, 94601, US"
105,Whopper,8.19,670,"849 University Avenue, Berkeley, CA, 94710, US"
106,Impossible™ Whopper,9.49,630,"849 University Avenue, Berkeley, CA, 94710, US"
107,Texas Double Whopper,9.89,"1,090","849 University Avenue, Berkeley, CA, 94710, US"
108,Double Whopper,10.49,920,"849 University Avenue, Berkeley, CA, 94710, US"
109,Triple Whopper ,11.19,"1,170","849 University Avenue, Berkeley, CA, 94710, US"
110,Bacon King,10.99,"1,200","849 University Avenue, Berkeley, CA, 94710, US"
111,BBQ Bacon Whopper Jr.,3.99,390,"849 University Avenue, Berkeley, CA, 94710, US"
112,Whopper Jr.,5.19,330,"849 University Avenue, Berkeley, CA, 94710, US"
113,Bacon Double Cheeseburger,4.89,440,"849 University Avenue, Berkeley, CA, 94710, US"
114,Bacon Cheeseburger,3.59,340,"849 University Avenue, Berkeley, CA, 94710, US"
115,Double Cheeseburger,3.99,400,"849 University Avenue, Berkeley, CA, 94710, US"
116,Cheeseburger,3.29,290,"849 University Avenue, Berkeley, CA, 94710, US"
117,Rodeo Burger,3.29,340,"849 University Avenue, Berkeley, CA, 94710, US"
118,Hamburger,2.99,250,"849 University Avenue, Berkeley, CA, 94710, US"
119,Have-sies™,3.89,380,"849 University Avenue, Berkeley, CA, 94710, US"
120,French Fries,4.09,370,"849 University Avenue, Berkeley, CA, 94710, US"
121,Onion Rings,4.09,360,"849 University Avenue, Berkeley, CA, 94710, US"
122,12 Pc. Chicken Fries,5.99,340,"849 University Avenue, Berkeley, CA, 94710, US"
123,8 Pc. Chicken Fries,4.99,220,"849 University Avenue, Berkeley, CA, 94710, US"
124,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"849 University Avenue, Berkeley, CA, 94710, US"
125,4 Pc. Chicken Fries,2.29,110,"849 University Avenue, Berkeley, CA, 94710, US"
126,16 Pc. Chicken Nuggets,2.99,770,"849 University Avenue, Berkeley, CA, 94710, US"
127,8 Pc. Chicken Nuggets,2.99,390,"849 University Avenue, Berkeley, CA, 94710, US"
128,4 Pc. Chicken Nuggets,1.89,190,"849 University Avenue, Berkeley, CA, 94710, US"
129,Mozzarella Sticks,2.89,330,"849 University Avenue, Berkeley, CA, 94710, US"
130,MOTTS Applesauce,1.49,50,"849 University Avenue, Berkeley, CA, 94710, US"
131,Whopper,8.99,670,"3996 Washington Boulevard, Fremont, CA, 94538, US"
132,Impossible™ Whopper,9.89,630,"3996 Washington Boulevard, Fremont, CA, 94538, US"
133,Texas Double Whopper,12.99,"1,090","3996 Washington Boulevard, Fremont, CA, 94538, US"
134,Double Whopper,9.99,920,"3996 Washington Boulevard, Fremont, CA, 94538, US"
135,Triple Whopper ,10.99,"1,170","3996 Washington Boulevard, Fremont, CA, 94538, US"
136,Bacon King,10.49,"1,200","3996 Washington Boulevard, Fremont, CA, 94538, US"
137,BBQ Bacon Whopper Jr.,8.19,390,"3996 Washington Boulevard, Fremont, CA, 94538, US"
138,Whopper Jr.,6.49,330,"3996 Washington Boulevard, Fremont, CA, 94538, US"
139,Bacon Double Cheeseburger,5.49,440,"3996 Washington Boulevard, Fremont, CA, 94538, US"
